"sklearn.preprocessing.StandardScaler, sklearn.ensemble.RandomForestClassifier, sklearn.model_selection.train_test_split, sklearn.metrics.classification_report, sklearn.preprocessing.LabelEncoder, ","time variant bettermemory baseline betterscore inconsistent","[scikit-learn]","1125:6, 1125:7","scikit-learn:0.21.3, scikit-learn:0.20.3",
"lightgbm.Dataset, lightgbm.train, ","time variant bettermemory baseline better","[lightgbm]","1127:1, 1127:2, 1127:3, 17655:7, 24484:6","lightgbm:3.3.1, lightgbm:3.2.1, lightgbm:3.1.1, lightgbm:2.1.2, lightgbm:2.2.3",
"lightgbm.Dataset, lightgbm.train, ","memory baseline better","[lightgbm]","1127:4, 8665:6, 8665:7, 16469:6, 19541:6, 31771:7","lightgbm:3.0.0, lightgbm:2.2.3, lightgbm:2.1.2",
"lightgbm.Dataset, lightgbm.train, ","memory baseline betterscore inconsistent","[lightgbm]","1127:5, 1127:6, 1127:7, 1510:6, 1510:7, 1511:6, 1511:7, 16744:1, 16744:2, 19597:6, 19597:7","lightgbm:2.3.1, lightgbm:2.2.3, lightgbm:2.1.2, lightgbm:3.3.1, lightgbm:3.2.1",
"sklearn.ensemble.RandomForestClassifier, sklearn.metrics.roc_auc_score, sklearn.compose.ColumnTransformer, sklearn.preprocessing.OneHotEncoder, sklearn.impute.SimpleImputer, sklearn.pipeline.Pipeline, sklearn.model_selection.train_test_split, ","time baseline better","[scikit-learn]","1164:3","scikit-learn:0.23.2",
"sklearn.ensemble.RandomForestClassifier, sklearn.metrics.roc_auc_score, sklearn.compose.ColumnTransformer, sklearn.preprocessing.OneHotEncoder, sklearn.impute.SimpleImputer, sklearn.pipeline.Pipeline, sklearn.model_selection.train_test_split, ","time variant better","[scikit-learn]","1164:5","scikit-learn:0.22",
"sklearn.ensemble.RandomForestClassifier, sklearn.metrics.roc_auc_score, sklearn.compose.ColumnTransformer, sklearn.preprocessing.OneHotEncoder, sklearn.impute.SimpleImputer, sklearn.pipeline.Pipeline, sklearn.model_selection.train_test_split, ","memory variant better","[scikit-learn]","1164:7","scikit-learn:0.20.3",
"sklearn.ensemble.RandomForestClassifier, sklearn.linear_model.LogisticRegression, sklearn.model_selection.cross_val_score, sklearn.tree.DecisionTreeClassifier, sklearn.preprocessing.LabelEncoder, ","memory variant better","[scikit-learn]","1182:4, 1182:5","scikit-learn:0.22.1, scikit-learn:0.22",
"sklearn.ensemble.RandomForestClassifier, sklearn.linear_model.LogisticRegression, sklearn.model_selection.cross_val_score, sklearn.tree.DecisionTreeClassifier, sklearn.preprocessing.LabelEncoder, ","time variant betterscore inconsistent","[scikit-learn]","1182:6, 1182:8","scikit-learn:0.21.3, scikit-learn:0.19.2",
"sklearn.ensemble.RandomForestClassifier, sklearn.linear_model.LogisticRegression, sklearn.model_selection.cross_val_score, sklearn.tree.DecisionTreeClassifier, sklearn.preprocessing.LabelEncoder, ","time variant bettermemory baseline betterscore inconsistent","[scikit-learn]","1182:7","scikit-learn:0.20.3",
"lightgbm.Dataset, lightgbm.train, lightgbm.LGBMClassifier, ","time variant betterscore inconsistent","[lightgbm]","1205:1, 1205:2, 1205:3, 1205:4, 1205:5, 1205:6","lightgbm:3.3.1, lightgbm:3.2.1, lightgbm:3.1.1, lightgbm:3.0.0, lightgbm:2.3.1, lightgbm:2.2.3",
"lightgbm.Dataset, lightgbm.train, lightgbm.LGBMClassifier, ","time variant better","[lightgbm]","1205:7","lightgbm:2.1.2",
"sklearn.linear_model.LogisticRegression, sklearn.preprocessing.LabelEncoder, ","memory baseline better","[scikit-learn]","1210:2, 1224:2, 17694:2","scikit-learn:1.0.1",
"sklearn.linear_model.LogisticRegression, sklearn.preprocessing.LabelEncoder, ","score inconsistent","[scikit-learn]","1210:6, 1224:6, 17694:8","scikit-learn:0.21.3, scikit-learn:0.19.2",
"sklearn.linear_model.LogisticRegression, sklearn.preprocessing.LabelEncoder, ","memory variant better","[scikit-learn]","1210:8, 1224:8, 17694:1","scikit-learn:0.19.2, scikit-learn:1.0.1",
"sklearn.linear_model.LogisticRegression, sklearn.metrics.classification_report, sklearn.metrics.confusion_matrix, sklearn.model_selection.StratifiedShuffleSplit, sklearn.preprocessing.LabelEncoder, ","memory baseline better","[scikit-learn]","1214:2","scikit-learn:0.24.2",
"sklearn.linear_model.LogisticRegression, ","memory baseline better","[scikit-learn]","1233:6, 19606:2, 19606:3, 19606:6","scikit-learn:0.21.3, scikit-learn:0.24.2, scikit-learn:0.23.2",
"sklearn.model_selection.train_test_split, sklearn.preprocessing.LabelEncoder, ","time variant bettermemory variant betterscore inconsistent","[scikit-learn]","1255:2, 1255:3, 1255:4, 1255:5, 8473:6","scikit-learn:1.0.1",
"lightgbm.LGBMClassifier, ","time baseline bettermemory variant betterscore inconsistent","[lightgbm]","1255:2, 1255:3, 1255:4, 1255:5, 8226:2, 8226:7, 17649:5, 24531:1, 24531:2, 24531:3, 24531:4, 24531:5, 24677:5, 25003:5, 25011:5, 25134:3, 25134:5","lightgbm:3.2.1, lightgbm:3.1.1, lightgbm:3.0.0, lightgbm:2.3.1, lightgbm:2.1.2, lightgbm:3.3.1",
"sklearn.model_selection.train_test_split, sklearn.preprocessing.LabelEncoder, ","memory variant betterscore inconsistent","[scikit-learn]","1255:6, 1255:7","scikit-learn:1.0.1",
"lightgbm.LGBMClassifier, ","time baseline bettermemory baseline betterscore inconsistent","[lightgbm]","1255:6, 1255:7, 8479:2, 8479:5, 17649:6, 24514:7, 24601:1, 24601:3, 24601:4, 24601:5, 24601:6, 24677:6, 24677:7, 24980:3, 25011:6, 25038:2, 25038:5","lightgbm:2.2.3, lightgbm:2.1.2, lightgbm:3.2.1, lightgbm:2.3.1, lightgbm:3.3.1, lightgbm:3.1.1, lightgbm:3.0.0",
"xgboost.XGBClassifier, ","time variant bettermemory variant betterscore inconsistent","[xgboost]","1385:7, 17718:1, 17718:2, 17718:3, 20683:5, 20683:7, 24528:1, 24533:1, 24533:2, 24533:3, 24563:4, 24563:5, 24563:6, 24563:7, 24588:3, 24588:5, 24588:6, 24588:7, 25136:7","xgboost:0.90, xgboost:1.5.1, xgboost:1.4.2, xgboost:1.3.3, xgboost:1.1.1, xgboost:1.2.1, xgboost:1.0.2",
